accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.914966288,0.920124004,0.964747956,0.882880075,0.922000244,0.957367933,0.828940626,0.976803136,,0.225716254,0.065527652,gradient_boosting,anova,20,0.964914362,10,1
0.895715046,0.903740564,0.96686264,0.845788202,0.90228189,0.961692926,0.791547898,0.971635735,,0.33201078,0.082355562,gradient_boosting,extra_trees,20,0.927291112,10,2
0.8942956,0.901378969,0.959461836,0.850229876,0.901549267,0.952528061,0.788331149,0.976384331,,0.236590043,0.075049214,gradient_boosting,logistic_l1,20,0.91888788,10,3
0.876463804,0.887983421,0.973604827,0.804800125,0.881191075,0.971166718,0.754926847,0.981711371,,0.283362486,0.083188384,random_forest,anova,20,0.902773104,10,4
0.889726757,0.898292798,0.965200971,0.83643731,0.896217751,0.960148285,0.779861901,0.951202802,,1.516383762,0.087918929,extra_trees,logistic_l1,20,0.901765401,10,5
0.88773066,0.896677291,0.965985164,0.83207356,0.894042785,0.961281022,0.776061093,0.955302323,,1.291244265,0.086702104,random_forest,logistic_l1,20,0.901346921,10,6
0.896646558,0.903982573,0.963136079,0.851009117,0.90360748,0.956956029,0.793122826,0.927665939,,2.645434521,0.09441093,knn,logistic_l1,20,0.898907771,10,7
0.903122782,0.903558368,0.927293155,0.900412998,0.913655412,0.906703738,0.803373294,,,,,sgd,logistic_l1,20,0.883357435,7,8
0.903344571,0.904229164,0.929943503,0.897841502,0.913610594,0.910616826,0.803996952,0.956037001,,0.528506642,0.170189094,adaboost,logistic_l1,20,0.882877566,10,9
0.88773066,0.897929886,0.974571587,0.82428115,0.89314814,0.971578622,0.776608532,0.899695925,,3.957254557,0.110903423,decision_tree,anova,20,0.878558057,10,10
0.861027324,0.874562413,0.973725337,0.776825372,0.864201812,0.972299454,0.72554122,0.978278534,,0.359142594,0.094165221,extra_trees,anova,20,0.870821601,10,11
0.862890348,0.875785463,0.970809975,0.78266968,0.866646534,0.968901246,0.728865283,0.974237663,,0.379194097,0.104262806,gradient_boosting,mutual_information,20,0.868451073,10,12
