accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,BalancedMethod,overall_score,metrics_used,Rank
0.900727466,0.908318639,0.968349394,0.853502688,0.907306163,0.96313459,0.801359755,0.969097822,,0.283899217,0.072421309,gradient_boosting,svm_smote,0.962568738,10,1
0.899086231,0.906601472,0.966425163,0.852333827,0.905801002,0.960869117,0.798058337,0.963818373,,0.301965807,0.075380819,gradient_boosting,adasyn,0.953920741,10,2
0.893852023,0.902104158,0.966738197,0.84251539,0.900362243,0.961692926,0.78793332,0.968859002,,0.295216909,0.075425946,gradient_boosting,borderline_smote,0.946107242,10,3
0.888041164,0.897664005,0.970859596,0.828177355,0.893860387,0.967150654,0.776972845,0.976412841,,0.332945811,0.088106046,gradient_boosting,nearmiss,0.942686471,10,4
0.870298084,0.88202908,0.969398389,0.797319411,0.874978622,0.96673875,0.742861269,0.973956523,,0.353518913,0.096092747,gradient_boosting,random_under,0.903427802,10,5
0.868124556,0.880094888,0.969077069,0.793656978,0.872638478,0.966532798,0.738695375,0.974445003,,0.366441766,0.10003603,gradient_boosting,smote_tomek,0.898391853,10,6
0.861071682,0.8739375,0.968873852,0.781033274,0.864871861,0.966841726,0.725272204,0.970342922,,0.385200733,0.103972505,gradient_boosting,enn,0.881957309,10,7
0.858720724,0.871822407,0.968349515,0.777214993,0.862317901,0.966429822,0.720775867,0.969928952,,0.388913266,0.105012613,gradient_boosting,smote_enn,0.876189307,10,8
0.865241306,0.877211628,0.966384154,0.790773786,0.86980372,0.96364947,0.733011605,0.958635289,,0.52966587,0.170596379,adaboost,borderline_smote,0.875165849,10,9
0.854462385,0.868094576,0.968143501,0.769656355,0.857564576,0.966532798,0.712701518,0.973556659,,0.367189104,0.100818266,gradient_boosting,smote,0.869249681,10,10
0.853841377,0.86751153,0.96782421,0.76879919,0.856907109,0.96622387,0.711503605,0.970909511,,0.376629318,0.103800544,gradient_boosting,random_over,0.866166306,10,11
0.874467708,0.886004662,0.97188414,0.802696174,0.879224991,0.96931315,0.750994268,0.886004662,,4.524642437,0.125532292,decision_tree,enn,0.865593351,10,12
0.850204045,0.864341693,0.967748318,0.762253565,0.852796304,0.966429822,0.704632027,0.974119168,,0.379398844,0.104674315,gradient_boosting,tomek,0.859940698,10,13
0.849095103,0.863380168,0.967761135,0.760227538,0.851531815,0.966532798,0.702542691,0.972958792,,0.38506712,0.106411077,gradient_boosting,class_weight,0.857095303,10,14
0.870298084,0.882191918,0.970557508,0.796306398,0.874839483,0.968077438,0.742942663,0.882191918,,4.674930913,0.129701916,decision_tree,nearmiss,0.852917261,10,15
0.86825763,0.880387137,0.970338579,0.792799813,0.872630586,0.967974462,0.739038462,0.880387137,,4.748476338,0.13174237,decision_tree,tomek,0.847392041,10,16
0.83853797,0.854733498,0.971774607,0.737785397,0.838766832,0.971681598,0.68303018,0.979562902,,0.321650868,0.10595098,random_forest,adasyn,0.844709046,10,17
0.836453158,0.853002489,0.972417355,0.733499571,0.836227957,0.972505406,0.679181174,0.979924738,,0.326458746,0.108958401,random_forest,borderline_smote,0.841301329,10,18
0.864176721,0.876815155,0.97016649,0.785552872,0.868153634,0.968077438,0.731262187,0.876815155,,4.895567188,0.135823279,decision_tree,class_weight,0.836753104,10,19
0.86169269,0.874996532,0.97265739,0.778929323,0.865080052,0.971063742,0.726725964,0.874996532,,4.985100748,0.13830731,decision_tree,smote_tomek,0.834347625,10,20
0.831751242,0.848809882,0.971619366,0.725629237,0.830798055,0.971990526,0.670339094,0.975482178,,0.371162506,0.114082526,extra_trees,adasyn,0.8282227,10,21
0.829444642,0.846808907,0.971662469,0.721421336,0.828048835,0.972196478,0.666044713,0.981692534,,0.332102775,0.108766142,random_forest,svm_smote,0.826686202,10,22
0.872782115,0.877647356,0.92735226,0.84251539,0.882900539,0.912779322,0.744348716,,,,,sgd,borderline_smote,0.822264816,7,23
0.872515969,0.87730085,0.926655814,0.842749162,0.882713026,0.911852538,0.743775926,,,,,sgd,svm_smote,0.820363568,7,24
0.839025905,0.854210108,0.964566929,0.744564794,0.84040635,0.963855422,0.683365664,0.955907304,,0.514712381,0.164406121,adaboost,enn,0.819465309,10,25
0.826472676,0.844210975,0.971561476,0.716122497,0.824511035,0.972299454,0.660507223,0.974830976,,0.357476112,0.114572704,extra_trees,borderline_smote,0.81716765,10,26
