accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,BalancedMethod,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.952892122,0.953110883,0.965220141,0.951531209,0.958326793,0.954690557,0.90416053,0.979559965,,0.172180431,0.045004897,gradient_boosting,svm_smote,anova,20,0.993055904,10,1
0.9386533,0.940403649,0.963112765,0.927764358,0.945108156,0.953042941,0.875641257,0.978372025,,0.191195799,0.051362019,gradient_boosting,borderline_smote,anova,20,0.969172731,10,2
0.933995742,0.937089243,0.96752658,0.914751032,0.940398943,0.959427453,0.866580167,0.974549135,,0.236780841,0.05797583,gradient_boosting,svm_smote,extra_trees,20,0.959534674,10,3
0.932931157,0.931882804,0.942537722,0.939452973,0.940992819,0.924312635,0.863311428,0.977505015,,0.19703623,0.053210627,gradient_boosting,adasyn,anova,20,0.959447387,10,4
0.926454933,0.930227701,0.965586201,0.902984493,0.933236692,0.957470909,0.851580577,0.971353476,,0.26481552,0.063699618,gradient_boosting,adasyn,extra_trees,20,0.945545258,10,5
0.921974805,0.923862499,0.950602214,0.910231435,0.929978902,0.937493564,0.841977121,0.979585093,,0.181975079,0.054951093,gradient_boosting,svm_smote,logistic_l1,20,0.942463364,10,6
0.922507097,0.92684776,0.965876618,0.895503779,0.929359913,0.958191741,0.843812981,0.97820134,,0.217767046,0.060786636,gradient_boosting,random_over,anova,20,0.942256911,10,7
0.921664301,0.923664921,0.951014753,0.909218421,0.92964704,0.93811142,0.841385756,0.977675796,,0.192053471,0.058664065,gradient_boosting,adasyn,logistic_l1,20,0.940860569,10,8
0.922595813,0.919347483,0.922883295,0.942803709,0.932737155,0.895891257,0.841615109,,,,,sgd,svm_smote,anova,20,0.937014513,7,9
0.917982612,0.922785949,0.965029636,0.88810099,0.924968551,0.957470909,0.834873785,0.977145943,,0.221718035,0.063279394,gradient_boosting,tomek,anova,20,0.934298057,10,10
0.916607523,0.919223247,0.950555327,0.900335074,0.924763887,0.93811142,0.83138587,0.978198909,,0.194196727,0.059186491,gradient_boosting,borderline_smote,logistic_l1,20,0.932840171,10,11
0.919535131,0.915093358,0.914528628,0.947167459,0.930561935,0.883019257,0.834976883,,,,,sgd,svm_smote,logistic_l1,20,0.931496966,7,12
0.916030873,0.920796048,0.963166808,0.886386659,0.923183054,0.955205437,0.830944335,0.975619337,,0.232428214,0.066145704,gradient_boosting,smote_enn,anova,20,0.930242666,10,13
0.914966288,0.920124004,0.964747956,0.882880075,0.922000244,0.957367933,0.828940626,0.976803136,,0.225716254,0.065527652,gradient_boosting,class_weight,anova,20,0.929074579,10,14
0.918160043,0.915952316,0.924903326,0.931894335,0.928385669,0.900010298,0.832916641,,,,,sgd,adasyn,anova,20,0.928537678,7,15
0.918071327,0.91526062,0.921695071,0.935556768,0.928574191,0.894964473,0.832533899,,,,,sgd,borderline_smote,anova,20,0.928462607,7,16
0.916651881,0.913500271,0.918858978,0.936258085,0.927476939,0.890742457,0.829525457,,,,,sgd,borderline_smote,logistic_l1,20,0.925857513,7,17
0.912393542,0.917901783,0.964811644,0.878126705,0.919430506,0.957676861,0.82390439,0.97711423,,0.224990156,0.06481894,gradient_boosting,random_under,anova,20,0.925096169,10,18
0.915188077,0.91250262,0.920135416,0.931894335,0.925977545,0.893110905,0.826703501,,,,,sgd,adasyn,logistic_l1,20,0.923031465,7,19
0.911373314,0.917869946,0.970309923,0.870957687,0.917953351,0.964782206,0.822207103,0.970187712,,0.272410526,0.068721657,gradient_boosting,adasyn,mutual_information,20,0.920326883,10,20
0.908223918,0.915642257,0.973684211,0.86207434,0.914486464,0.969210174,0.816244654,0.982525711,,0.245197909,0.072002312,random_forest,nearmiss,anova,20,0.919902275,10,21
0.90817956,0.910367447,0.941215053,0.89456869,0.917299241,0.926166203,0.814248181,0.978133427,,0.21992648,0.063609894,gradient_boosting,nearmiss,anova,20,0.918727276,10,22
0.909776437,0.915728281,0.965434014,0.872749942,0.916755341,0.958706621,0.818820546,0.973629681,,0.31474581,0.075021482,gradient_boosting,smote_enn,extra_trees,20,0.918343595,10,23
0.90817956,0.910392499,0.941359797,0.894412842,0.917286023,0.926372155,0.814257413,0.974623737,,0.227099681,0.066515138,gradient_boosting,smote_tomek,anova,20,0.91707739,10,24
0.909554649,0.915859146,0.967515593,0.870334294,0.916355581,0.961383998,0.818502785,0.968694796,,0.299030204,0.076583702,gradient_boosting,svm_smote,random_forest,20,0.91598874,10,25
0.909066714,0.91531783,0.966756125,0.870178446,0.915928478,0.960457213,0.817507896,0.969333969,,0.282695389,0.071102983,gradient_boosting,borderline_smote,extra_trees,20,0.915964343,10,26
0.915010646,0.918910371,0.956969443,0.890750409,0.922673339,0.947070333,0.82860414,0.950885356,,1.455650642,0.076844699,random_forest,enn,logistic_l1,20,0.914334757,10,27
0.913325053,0.918068636,0.960779331,0.883815164,0.920691615,0.952322109,0.825507478,0.955499312,,1.270877382,0.077738794,random_forest,svm_smote,logistic_l1,20,0.913903029,10,28
0.90489709,0.910540587,0.959346798,0.869788826,0.912375347,0.951292349,0.808942116,0.976779938,,0.219095572,0.068052111,gradient_boosting,enn,logistic_l1,20,0.912486974,10,29
0.906760114,0.913279277,0.96652465,0.866204317,0.913618805,0.960354237,0.812994099,0.971377292,,0.325147872,0.07889401,gradient_boosting,enn,extra_trees,20,0.912213639,10,30
0.904719659,0.910359687,0.959174903,0.869632977,0.912211869,0.951086397,0.808585664,0.974640231,,0.234617377,0.071895857,gradient_boosting,smote_enn,logistic_l1,20,0.910978358,10,31
0.901969482,0.909597466,0.969670174,0.854515702,0.908458288,0.96467923,0.803849799,0.983558721,,0.22539642,0.068947221,random_forest,adasyn,anova,20,0.910406465,10,32
0.916430092,0.914958886,0.927461544,0.925582483,0.926521061,0.90433529,0.829647577,0.947303327,,0.523181253,0.167612687,adaboost,svm_smote,logistic_l1,20,0.910250514,10,33
0.916075231,0.914672242,0.927549824,0.924803242,0.926174497,0.904541242,0.828949915,0.946006899,,0.517267401,0.164999184,adaboost,borderline_smote,logistic_l1,20,0.909412116,10,34
0.916430092,0.915021516,0.927795577,0.925192862,0.926492392,0.90485017,0.829668906,0.94357692,,0.516703235,0.164605004,adaboost,adasyn,logistic_l1,20,0.909066692,10,35
0.904630944,0.911208684,0.965084893,0.863710746,0.911588124,0.958706621,0.808761443,0.972508363,,0.321218615,0.081112155,gradient_boosting,random_over,extra_trees,20,0.90899856,10,36
0.902723563,0.905763004,0.941713716,0.883815164,0.911846284,0.927710843,0.803584204,0.974992462,,0.230655658,0.066650915,gradient_boosting,enn,anova,20,0.908329521,10,37
0.90219127,0.905395667,0.942243675,0.882256682,0.911264035,0.928534651,0.802577989,0.976256235,,0.22984375,0.066099374,gradient_boosting,smote,anova,20,0.908005357,10,38
0.912792761,0.916999846,0.957019093,0.886620432,0.92047569,0.947379261,0.82425331,0.945752809,,1.736358157,0.078253367,extra_trees,enn,logistic_l1,20,0.907787495,10,39
0.911506388,0.915857421,0.956836958,0.884438557,0.919214416,0.947276285,0.821720502,0.949385351,,1.539774104,0.078097623,extra_trees,adasyn,logistic_l1,20,0.90771516,10,40
0.909776437,0.914337901,0.956694578,0.881399517,0.917504867,0.947276285,0.818323024,0.954757905,,1.26454813,0.080067938,random_forest,borderline_smote,logistic_l1,20,0.907649059,10,41
0.914700142,0.912850647,0.924117556,0.926205875,0.925160537,0.899495418,0.82600134,0.924961297,,0.408465001,0.073320418,logistic_regression,svm_smote,anova,20,0.907350102,10,42
0.91088538,0.915299426,0.956708861,0.883425544,0.918607949,0.947173309,0.820496075,0.949181658,,1.549168519,0.079289031,extra_trees,borderline_smote,logistic_l1,20,0.906496526,10,43
0.909199787,0.91384392,0.956724255,0.880308579,0.916927073,0.947379261,0.817195781,0.953308686,,1.31106227,0.079297283,random_forest,adasyn,logistic_l1,20,0.906077399,10,44
0.905961675,0.904586403,0.919821303,0.91451726,0.917161613,0.894655545,0.808423461,,,,,sgd,tomek,anova,20,0.905463026,7,45
0.898465224,0.906807561,0.971387697,0.846567443,0.904692509,0.967047678,0.797149757,0.983690416,,0.237320932,0.071648786,random_forest,borderline_smote,anova,20,0.904512785,10,46
0.901392832,0.909103485,0.969718435,0.853424764,0.907862561,0.964782206,0.802732345,0.969680997,,0.288960764,0.074116661,gradient_boosting,borderline_smote,mutual_information,20,0.9033984,10,47
0.904231725,0.904494841,0.927233429,0.902594873,0.914748272,0.90639481,0.805548902,,,,,sgd,random_over,logistic_l1,20,0.901956871,7,48
0.907647268,0.912881079,0.959091297,0.875087665,0.915165838,0.950674493,0.814297524,0.950433651,,1.505834273,0.079706578,extra_trees,svm_smote,logistic_l1,20,0.901840594,10,49
0.903655075,0.90406349,0.927568782,0.901114315,0.914150198,0.907012666,0.804439031,,,,,sgd,random_under,logistic_l1,20,0.90084816,7,50
0.895759404,0.904518557,0.971824647,0.841268604,0.901846128,0.96776851,0.791935472,0.983384288,,0.247405486,0.072776572,random_forest,svm_smote,anova,20,0.899863953,10,51
0.903122782,0.903558368,0.927293155,0.900412998,0.913655412,0.906703738,0.803373294,,,,,sgd,smote,logistic_l1,20,0.899837962,7,52
0.903122782,0.903558368,0.927293155,0.900412998,0.913655412,0.906703738,0.803373294,,,,,sgd,class_weight,logistic_l1,20,0.899837962,7,53
0.903078424,0.903519406,0.927287319,0.900335074,0.913612462,0.906703738,0.803285716,,,,,sgd,smote_tomek,logistic_l1,20,0.899753377,7,54
0.900416962,0.907770334,0.966513923,0.85467155,0.907158513,0.960869117,0.800647787,0.965324734,,0.305845849,0.077227006,gradient_boosting,adasyn,random_forest,20,0.899737664,10,55
0.902856636,0.903362173,0.927464053,0.899711681,0.913377106,0.907012666,0.802862605,,,,,sgd,tomek,logistic_l1,20,0.899325701,7,56
0.902501774,0.902724802,0.925638357,0.901114315,0.913211719,0.90433529,0.802033884,,,,,sgd,nearmiss,logistic_l1,20,0.89869134,7,57
0.899219304,0.906505417,0.965037428,0.853892309,0.906069125,0.959118525,0.798232864,0.965497132,,0.287174318,0.072184891,gradient_boosting,svm_smote,variance,122,0.898332193,10,58
0.902102555,0.902637189,0.927021379,0.898776592,0.912680514,0.906497786,0.80134965,,,,,sgd,enn,logistic_l1,20,0.897895317,7,59
0.899086231,0.906601472,0.966425163,0.852333827,0.905801002,0.960869117,0.798058337,0.963815396,,0.301992111,0.075383112,gradient_boosting,adasyn,variance,122,0.897152046,10,60
0.91434528,0.921194383,0.975156904,0.871736928,0.920551327,0.970651838,0.828268592,0.921187779,,3.087310766,0.085654785,decision_tree,enn,anova,20,0.896296647,10,61
0.904187367,0.910681278,0.964164565,0.86378867,0.911220715,0.957573885,0.807843558,0.95119968,,1.517545222,0.082649923,extra_trees,random_under,logistic_l1,20,0.89627833,10,62
0.895227111,0.902334957,0.960425644,0.851009117,0.902412824,0.953660797,0.790199045,0.975557474,,0.227116853,0.072397201,gradient_boosting,smote,logistic_l1,20,0.895874056,10,63
0.900949255,0.901636701,0.926937329,0.896672641,0.911553848,0.906600762,0.799079535,,,,,sgd,smote_enn,logistic_l1,20,0.895693172,7,64
0.894960965,0.901788036,0.958388086,0.852489675,0.902342461,0.951086397,0.789552203,0.975128173,,0.227763906,0.072756553,gradient_boosting,random_under,logistic_l1,20,0.895221865,10,65
0.906360894,0.906064397,0.925881792,0.908205408,0.91695842,0.903923386,0.809644111,0.928796838,,0.416116394,0.079914164,logistic_regression,borderline_smote,anova,20,0.894675794,10,66
0.901392832,0.90825172,0.964129484,0.858723603,0.908379013,0.957779837,0.802402097,0.956123178,,1.268520574,0.082317016,random_forest,random_under,logistic_l1,20,0.894422294,10,67
0.8942956,0.901378969,0.959461836,0.850229876,0.901549267,0.952528061,0.788331149,0.976384331,,0.236590043,0.075049214,gradient_boosting,class_weight,logistic_l1,20,0.894410411,10,68
0.895715046,0.903740564,0.96686264,0.845788202,0.90228189,0.961692926,0.791547898,0.971635735,,0.33201078,0.082355562,gradient_boosting,class_weight,extra_trees,20,0.894029806,10,69
0.893985096,0.901256546,0.960409135,0.848749318,0.901133449,0.953763773,0.787790298,0.976360061,,0.239955986,0.075903333,gradient_boosting,tomek,logistic_l1,20,0.893817988,10,70
0.893364088,0.902827963,0.974519975,0.834489208,0.89908488,0.971166718,0.787467123,0.979275395,,0.323165151,0.082863294,extra_trees,nearmiss,anova,20,0.893294804,10,71
0.891678495,0.900984152,0.971932056,0.833787891,0.897575707,0.968180414,0.784054742,0.982213148,,0.252831064,0.07576091,random_forest,enn,anova,20,0.892472858,10,72
0.89274308,0.900203186,0.960555408,0.846333671,0.8998343,0.954072701,0.78539388,0.976718981,,0.227317393,0.072584171,gradient_boosting,random_over,logistic_l1,20,0.892259798,10,73
0.903344571,0.904229164,0.929943503,0.897841502,0.913610594,0.910616826,0.803996952,0.956037001,,0.528506642,0.170189094,adaboost,class_weight,logistic_l1,20,0.892138148,10,74
0.892388219,0.899666022,0.959064843,0.847112912,0.899619331,0.952219133,0.784609725,0.97712528,,0.231098755,0.073409758,gradient_boosting,smote_tomek,logistic_l1,20,0.891743372,10,75
0.89371895,0.901974746,0.966645802,0.842359542,0.900233178,0.96158995,0.787670067,0.973613315,,0.329834694,0.08396393,gradient_boosting,tomek,extra_trees,20,0.891411292,10,76
0.903566359,0.904336293,0.929486663,0.898776592,0.913873703,0.909895994,0.804400412,0.952865026,,0.530205081,0.17088456,adaboost,smote_tomek,logistic_l1,20,0.891199537,10,77
0.903566359,0.904336293,0.929486663,0.898776592,0.913873703,0.909895994,0.804400412,0.952864898,,0.530222005,0.170893828,adaboost,smote,logistic_l1,20,0.891198627,10,78
0.898243435,0.898483407,0.9223371,0.896750565,0.909363888,0.90021625,0.793428726,,,,,sgd,smote_enn,anova,20,0.890635745,7,79
0.893852023,0.902104158,0.966738197,0.84251539,0.900362243,0.961692926,0.78793332,0.96886169,,0.295205148,0.075420601,gradient_boosting,borderline_smote,variance,122,0.890617625,10,80
0.893097942,0.902005471,0.970479372,0.837684096,0.899205353,0.966326846,0.786706874,0.973778821,,0.314592807,0.084872629,gradient_boosting,svm_smote,mutual_information,20,0.890485977,10,81
0.89331973,0.901323464,0.964623062,0.843528403,0.900020786,0.959118525,0.786770445,0.970627099,,0.341615825,0.085392574,gradient_boosting,smote,extra_trees,20,0.889405198,10,82
0.907425479,0.913325092,0.963109809,0.870723915,0.914589728,0.955926269,0.814097254,0.928984643,,2.621104951,0.086839957,knn,svm_smote,logistic_l1,20,0.889222173,10,83
0.907336764,0.913096857,0.962147281,0.871503156,0.914584781,0.954690557,0.813868588,0.928149565,,2.654407551,0.087402413,knn,adasyn,logistic_l1,20,0.8885946,10,84
0.908623137,0.913312361,0.956521739,0.879451414,0.916368951,0.947173309,0.816055309,0.923273021,,2.861913933,0.08792406,knn,enn,logistic_l1,20,0.888075493,10,85
0.896646558,0.897043196,0.921908894,0.89417907,0.907832278,0.899907322,0.790265444,,,,,sgd,smote_tomek,anova,20,0.887590409,7,86
0.900594393,0.901337531,0.926959045,0.895971324,0.911201807,0.906703738,0.798384834,0.933793983,,0.439463774,0.080413227,logistic_regression,svm_smote,logistic_l1,20,0.887112156,10,87
0.89988467,0.90073919,0.927002584,0.89456869,0.910496887,0.90690969,0.796995953,0.936126979,,0.429657485,0.078462461,logistic_regression,borderline_smote,logistic_l1,20,0.887067248,10,88
0.888617814,0.898333349,0.972013902,0.828177355,0.894349308,0.968489342,0.778156849,0.981066574,,0.296274694,0.080634664,random_forest,random_over,anova,20,0.886471348,10,89
0.90587296,0.911811109,0.962039513,0.868931661,0.913118244,0.954690557,0.811005221,0.928300991,,2.64494848,0.088085522,knn,borderline_smote,logistic_l1,20,0.886244537,10,90
0.88985983,0.898635151,0.966720779,0.835268449,0.896199992,0.962001854,0.780216496,0.972668581,,0.349194343,0.087717216,gradient_boosting,smote_tomek,extra_trees,20,0.884356035,10,91
0.899751597,0.900497044,0.926296266,0.895114159,0.910438298,0.90587993,0.796683068,0.927859389,,0.427047846,0.082693198,logistic_regression,adasyn,anova,20,0.883265977,10,92
0.897444996,0.898658907,0.927023297,0.889893244,0.90807888,0.90742457,0.79221725,0.936994512,,0.430091663,0.0804685,logistic_regression,adasyn,logistic_l1,20,0.883251726,10,93
0.888085522,0.897715493,0.970948292,0.828177355,0.893897977,0.96725363,0.777063935,0.976417271,,0.332986829,0.088107182,gradient_boosting,nearmiss,variance,122,0.883001782,10,94
0.886133783,0.896251681,0.972564905,0.823190213,0.891664908,0.96931315,0.773408939,0.981639445,,0.269330032,0.079598697,random_forest,random_under,anova,20,0.882811875,10,95
0.89371895,0.895536406,0.927360577,0.88241253,0.904328382,0.908660282,0.7849571,,,,,sgd,svm_smote,extra_trees,20,0.881842812,7,96
0.885157913,0.895532302,0.973470142,0.820618717,0.89053317,0.970445886,0.771589835,0.982933189,,0.249518001,0.08023134,random_forest,smote_tomek,anova,20,0.881740587,10,97
0.893452803,0.894225402,0.921386443,0.888646458,0.904720349,0.899804346,0.783972881,,,,,sgd,class_weight,anova,20,0.881484461,7,98
0.893364088,0.894197582,0.921646317,0.888178914,0.904603175,0.90021625,0.783819933,,,,,sgd,random_over,anova,20,0.88130688,7,99
0.893097942,0.893988861,0.92174476,0.887555521,0.904327114,0.900422202,0.783307367,,,,,sgd,smote,anova,20,0.880793636,7,100
