accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.844792406,0.762926854,0.857255655,0.844792406,0.846300079,,0.770698306,0.954759644,0.911587297,logistic_regression,extra_trees,20,0.992601217,8,1
0.838227466,0.740858963,0.857789894,0.838227466,0.82736744,,0.755551117,0.954181898,0.904083178,gradient_boosting,variance,122,0.966026864,8,2
0.826029099,0.737663512,0.840920067,0.826029099,0.825602644,,0.743952447,0.954423312,0.909897277,logistic_regression,mutual_information,20,0.955184569,8,3
0.823944287,0.717409088,0.844262832,0.823944287,0.819150301,,0.736617101,0.962313495,0.909821867,gradient_boosting,logistic_l1,20,0.943332283,8,4
0.841376863,0.687600208,0.857715949,0.841376863,0.831862435,,0.760544484,0.94843136,0.882438224,gradient_boosting,random_forest,20,0.936915581,8,5
0.834856281,0.674370366,0.850508771,0.834856281,0.825254946,,0.749396725,0.962793446,0.91323004,gradient_boosting,mutual_information,20,0.936100898,8,6
0.835610362,0.666908824,0.835571462,0.835610362,0.828757082,,0.752660078,0.950948924,0.903973976,gradient_boosting,extra_trees,20,0.926546262,8,7
0.81866572,0.741757612,0.842041711,0.81866572,0.818696209,,0.730369226,0.909151591,0.850085823,adaboost,random_forest,20,0.916019436,8,8
0.807310149,0.730735031,0.816354661,0.807310149,0.801157738,,0.714281354,0.940573396,0.881697289,logistic_regression,random_forest,20,0.9101477,8,9
0.801454933,0.733922168,0.848399111,0.801454933,0.798910574,,0.709951858,0.938006376,0.875580955,logistic_regression,logistic_l1,20,0.909325702,8,10
0.806777857,0.703966103,0.815974681,0.806777857,0.804681196,,0.712406826,0.940075589,0.884829396,logistic_regression,anova,20,0.899603332,8,11
0.801188786,0.720565785,0.828187395,0.801188786,0.791151558,,0.701035946,,,sgd,variance,122,0.898867655,6,12
0.80864088,0.701354664,0.828119502,0.80864088,0.793207103,,0.710303944,0.93996865,0.861685819,logistic_regression,variance,122,0.88802759,8,13
