accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,BalancedMethod,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.860672463,0.726469607,0.868047466,0.860672463,0.854784023,,0.793105542,0.959930887,0.908821655,gradient_boosting,svm_smote,random_forest,20,0.984088951,8,1
0.846921576,0.766142146,0.859241483,0.846921576,0.848694659,,0.774043911,0.954340849,0.910572652,logistic_regression,smote_tomek,extra_trees,20,0.984071677,8,2
0.845413414,0.763918668,0.857966218,0.845413414,0.846917914,,0.771732446,0.954040469,0.912299049,logistic_regression,smote_enn,extra_trees,20,0.98265539,8,3
0.844792406,0.762926854,0.857255655,0.844792406,0.846300079,,0.770698306,0.954759644,0.911587297,logistic_regression,smote,extra_trees,20,0.981850482,8,4
0.842796309,0.76375012,0.858660149,0.842796309,0.84570209,,0.768235187,0.953150215,0.909108144,logistic_regression,random_over,extra_trees,20,0.980459669,8,5
0.84567956,0.753800128,0.861925602,0.84567956,0.839451648,,0.768548317,0.961017514,0.914987574,gradient_boosting,random_over,variance,122,0.979893981,8,6
0.840844571,0.738100012,0.87518266,0.840844571,0.843809714,,0.765265743,0.966408381,0.92192713,random_forest,random_under,random_forest,20,0.979206061,8,7
0.846344925,0.757257383,0.868814795,0.846344925,0.847623134,,0.776249448,0.947853318,0.891864711,logistic_regression,svm_smote,extra_trees,20,0.978125016,8,8
0.853176011,0.696469458,0.870706639,0.853176011,0.844284701,,0.781791854,0.96248296,0.920381069,gradient_boosting,svm_smote,mutual_information,20,0.974411103,8,9
0.836053939,0.730033155,0.865377689,0.836053939,0.838895207,,0.757507221,0.966380441,0.921420306,random_forest,random_under,mutual_information,20,0.972940084,8,10
0.83139638,0.764959916,0.847760007,0.83139638,0.836962453,,0.754574199,0.946737678,0.894362941,gradient_boosting,random_under,random_forest,20,0.968865513,8,11
0.835122427,0.728797568,0.862675346,0.835122427,0.819344585,,0.752086742,0.965087982,0.931449198,gradient_boosting,adasyn,variance,122,0.968365707,8,12
0.846300568,0.699249484,0.858645237,0.846300568,0.839410315,,0.768108657,0.960598741,0.911832529,gradient_boosting,smote_enn,mutual_information,20,0.967131832,8,13
0.838227466,0.740858963,0.857789894,0.838227466,0.82736744,,0.755551117,0.954181898,0.904083178,gradient_boosting,smote,variance,122,0.9668831,8,14
0.838848474,0.71739743,0.863996169,0.838848474,0.822632056,,0.757823729,0.965293959,0.92305164,gradient_boosting,svm_smote,variance,122,0.966800899,8,15
0.836985451,0.715419279,0.857293954,0.836985451,0.831309454,,0.759533292,0.963152331,0.9184966,gradient_boosting,svm_smote,logistic_l1,20,0.966536536,8,16
0.842840667,0.692562608,0.860382963,0.842840667,0.839727507,,0.767939017,0.962189336,0.915910199,gradient_boosting,borderline_smote,logistic_l1,20,0.96599694,8,17
0.837295955,0.736957977,0.860490745,0.837295955,0.824796164,,0.754132141,0.956405544,0.904658414,gradient_boosting,smote_enn,variance,122,0.965550817,8,18
0.835477289,0.741086893,0.855422533,0.835477289,0.824086046,,0.751397556,0.955285102,0.906349988,gradient_boosting,smote_tomek,variance,122,0.965219713,8,19
0.850647622,0.683347452,0.855417849,0.850647622,0.843426807,,0.778074154,0.953457223,0.908050783,gradient_boosting,svm_smote,extra_trees,20,0.96519455,8,20
0.826827537,0.739033231,0.842093001,0.826827537,0.826658685,,0.745372086,0.954761746,0.910285045,logistic_regression,smote_enn,mutual_information,20,0.961952523,8,21
0.818976224,0.766906303,0.834077228,0.818976224,0.824060102,,0.734727608,0.952999072,0.900608007,gradient_boosting,random_under,variance,122,0.960954307,8,22
0.826029099,0.737663512,0.840920067,0.826029099,0.825602644,,0.743952447,0.954423312,0.909897277,logistic_regression,smote,mutual_information,20,0.96076564,8,23
0.844925479,0.706088581,0.852224837,0.844925479,0.838117686,,0.767738046,0.949361262,0.886402906,gradient_boosting,smote_enn,random_forest,20,0.960616419,8,24
0.824875798,0.736161585,0.839891014,0.824875798,0.824296104,,0.742183846,0.954516398,0.908890812,logistic_regression,smote_tomek,mutual_information,20,0.959275577,8,25
0.820972321,0.74890958,0.849583857,0.820972321,0.818775845,,0.736056984,,,sgd,svm_smote,variance,122,0.958436795,6,26
0.812810504,0.754768763,0.857701247,0.812810504,0.820855304,,0.728947681,,,sgd,adasyn,logistic_l1,20,0.957808829,6,27
0.827093683,0.715513289,0.853568011,0.827093683,0.808217223,,0.73859537,0.966312443,0.925554,gradient_boosting,borderline_smote,variance,122,0.956828136,8,28
0.830376153,0.694594205,0.853811015,0.830376153,0.823933095,,0.749787132,0.963595835,0.910576128,gradient_boosting,adasyn,logistic_l1,20,0.955168063,8,29
0.837162881,0.699662945,0.853534759,0.837162881,0.827019673,,0.753892391,0.95232905,0.894962281,gradient_boosting,random_over,random_forest,20,0.954822178,8,30
0.824210433,0.713644052,0.844483484,0.824210433,0.819482393,,0.737050453,0.962993176,0.912242216,gradient_boosting,smote_tomek,logistic_l1,20,0.954403834,8,31
0.823944287,0.717409088,0.844262832,0.823944287,0.819150301,,0.736617101,0.962313495,0.909821867,gradient_boosting,smote,logistic_l1,20,0.954400715,8,32
0.833126331,0.69040899,0.846087819,0.833126331,0.823679742,,0.746975275,0.963036803,0.913102106,gradient_boosting,random_over,mutual_information,20,0.954392017,8,33
0.811213627,0.750223492,0.850590445,0.811213627,0.804619543,,0.716347097,0.965034695,0.917481944,random_forest,random_under,variance,122,0.95435663,8,34
0.825275018,0.713660846,0.844016508,0.825275018,0.819897814,,0.739124303,0.962235695,0.907711069,gradient_boosting,smote_enn,logistic_l1,20,0.953959603,8,35
0.81848829,0.737360699,0.853181619,0.81848829,0.817727565,,0.73059113,,,sgd,borderline_smote,variance,122,0.95371696,6,36
0.841376863,0.687600208,0.857715949,0.841376863,0.831862435,,0.760544484,0.94843136,0.882438224,gradient_boosting,smote,random_forest,20,0.952689861,8,37
0.834856281,0.674370366,0.850508771,0.834856281,0.825254946,,0.749396725,0.962793446,0.91323004,gradient_boosting,smote,mutual_information,20,0.952479258,8,38
0.821637686,0.715057246,0.850839066,0.821637686,0.816895865,,0.733276726,0.959754916,0.909255847,gradient_boosting,random_over,logistic_l1,20,0.952465988,8,39
0.829488999,0.73680409,0.845261707,0.829488999,0.827447899,,0.74980133,0.936724411,0.861130782,logistic_regression,adasyn,extra_trees,20,0.950748379,8,40
0.812056423,0.747695558,0.844253377,0.812056423,0.804148263,,0.716550532,0.960574113,0.905351192,extra_trees,random_under,variance,122,0.950286189,8,41
0.831884315,0.675261746,0.844284096,0.831884315,0.822788918,,0.745586659,0.960116847,0.907701671,gradient_boosting,smote_tomek,mutual_information,20,0.948726386,8,42
0.838138751,0.682878988,0.853542164,0.838138751,0.827341257,,0.755590759,0.94890874,0.880947268,gradient_boosting,smote_tomek,random_forest,20,0.948364076,8,43
0.835122427,0.670379424,0.835389463,0.835122427,0.828374818,,0.752058611,0.948979744,0.903209364,gradient_boosting,smote_enn,extra_trees,20,0.947778823,8,44
0.835610362,0.666908824,0.835571462,0.835610362,0.828757082,,0.752660078,0.950948924,0.903973976,gradient_boosting,smote,extra_trees,20,0.947727252,8,45
0.822036906,0.732399846,0.871675194,0.822036906,0.825468741,,0.74354629,0.935081116,0.854916938,logistic_regression,svm_smote,logistic_l1,20,0.947393402,8,46
0.814096877,0.722924511,0.829680004,0.814096877,0.811454405,,0.725428641,0.953190696,0.906561045,logistic_regression,random_over,mutual_information,20,0.946537269,8,47
0.83583215,0.659922449,0.850878178,0.83583215,0.823973564,,0.756041977,0.947177791,0.899165612,gradient_boosting,adasyn,extra_trees,20,0.945346458,8,48
0.817689851,0.741017142,0.857376627,0.817689851,0.818620061,,0.73576707,0.935611301,0.85234119,logistic_regression,adasyn,logistic_l1,20,0.943575619,8,49
0.810237757,0.7460074,0.828839418,0.810237757,0.816793468,,0.724760371,0.941581244,0.872134419,gradient_boosting,random_under,mutual_information,20,0.943140535,8,50
0.831174592,0.663197867,0.830507381,0.831174592,0.824056225,,0.746090578,0.950817812,0.903122454,gradient_boosting,smote_tomek,extra_trees,20,0.943045233,8,51
0.832106104,0.662285964,0.833130574,0.832106104,0.825846271,,0.74760134,0.947695916,0.899215742,gradient_boosting,random_over,extra_trees,20,0.942810688,8,52
0.815072747,0.731794756,0.820380892,0.815072747,0.806242551,,0.723986962,,,sgd,adasyn,variance,122,0.942562572,6,53
0.820395671,0.725110169,0.83680096,0.820395671,0.805218681,,0.730678983,0.951132622,0.872723463,logistic_regression,svm_smote,variance,122,0.94092168,8,54
0.813520227,0.734694634,0.821649707,0.813520227,0.807271132,,0.723821495,0.942452888,0.883957211,logistic_regression,smote_enn,random_forest,20,0.94091522,8,55
0.789655784,0.731702376,0.860342808,0.789655784,0.817891033,,0.699214769,0.947189226,0.896766829,gradient_boosting,random_under,logistic_l1,20,0.940436729,8,56
0.817334989,0.723706514,0.830238365,0.817334989,0.804816365,,0.726538579,0.95177799,0.878935346,logistic_regression,adasyn,variance,122,0.939988055,8,57
0.81866572,0.741757612,0.842041711,0.81866572,0.818696209,,0.730369226,0.909151591,0.850085823,adaboost,smote,random_forest,20,0.938582274,8,58
0.805801987,0.736698163,0.851755869,0.805801987,0.803559878,,0.716548576,0.938949379,0.876192276,logistic_regression,smote_enn,logistic_l1,20,0.938102407,8,59
0.815117104,0.702084724,0.844935062,0.815117104,0.806963842,,0.728076178,0.947262946,0.886325029,logistic_regression,svm_smote,mutual_information,20,0.937831052,8,60
0.81578247,0.685728272,0.824372329,0.81578247,0.817973068,,0.728626602,0.932429894,0.900346343,gradient_boosting,random_under,extra_trees,20,0.936896811,8,61
